county,office,district,party,candidate,votes,winner,write-in,notes
Apache,President,,DEM,"Peter ""Simon"" Bollander",8,,,
Cochise,President,,DEM,"Peter ""Simon"" Bollander",3,,,
Coconino,President,,DEM,"Peter ""Simon"" Bollander",19,,,
Gila,President,,DEM,"Peter ""Simon"" Bollander",11,,,
Graham,President,,DEM,"Peter ""Simon"" Bollander",2,,,
Greenlee,President,,DEM,"Peter ""Simon"" Bollander",1,,,
La Paz,President,,DEM,"Peter ""Simon"" Bollander",2,,,
Maricopa,President,,DEM,"Peter ""Simon"" Bollander",48,,,
Mohave,President,,DEM,"Peter ""Simon"" Bollander",3,,,
Navajo,President,,DEM,"Peter ""Simon"" Bollander",9,,,
Pima,President,,DEM,"Peter ""Simon"" Bollander",22,,,
Pinal,President,,DEM,"Peter ""Simon"" Bollander",10,,,
Santa Cruz,President,,DEM,"Peter ""Simon"" Bollander",2,,,
Yavapai,President,,DEM,"Peter ""Simon"" Bollander",8,,,
Yuma,President,,DEM,"Peter ""Simon"" Bollander",6,,,
,President,,DEM,"Peter ""Simon"" Bollander",154,,,
Apache,President,,DEM,William Campbell,18,,,
Cochise,President,,DEM,William Campbell,4,,,
Coconino,President,,DEM,William Campbell,16,,,
Gila,President,,DEM,William Campbell,8,,,
Graham,President,,DEM,William Campbell,10,,,
Greenlee,President,,DEM,William Campbell,5,,,
La Paz,President,,DEM,William Campbell,3,,,
Maricopa,President,,DEM,William Campbell,96,,,
Mohave,President,,DEM,William Campbell,9,,,
Navajo,President,,DEM,William Campbell,15,,,
Pima,President,,DEM,William Campbell,31,,,
Pinal,President,,DEM,William Campbell,13,,,
Santa Cruz,President,,DEM,William Campbell,1,,,
Yavapai,President,,DEM,William Campbell,10,,,
Yuma,President,,DEM,William Campbell,9,,,
,President,,DEM,William Campbell,248,,,
Apache,President,,DEM,Hillary Clinton,3768,,,
Cochise,President,,DEM,Hillary Clinton,4896,,,
Coconino,President,,DEM,Hillary Clinton,4884,,,
Gila,President,,DEM,Hillary Clinton,2839,,,
Graham,President,,DEM,Hillary Clinton,1027,,,
Greenlee,President,,DEM,Hillary Clinton,574,,,
La Paz,President,,DEM,Hillary Clinton,581,,,
Maricopa,President,,DEM,Hillary Clinton,125553,,,
Mohave,President,,DEM,Hillary Clinton,6541,,,
Navajo,President,,DEM,Hillary Clinton,3834,,,
Pima,President,,DEM,Hillary Clinton,49641,,,
Pinal,President,,DEM,Hillary Clinton,10768,,,
Santa Cruz,President,,DEM,Hillary Clinton,2201,,,
Yavapai,President,,DEM,Hillary Clinton,6932,,,
Yuma,President,,DEM,Hillary Clinton,5462,,,
,President,,DEM,Hillary Clinton,229501,,,
Apache,President,,DEM,Orion Daley,8,,,
Cochise,President,,DEM,Orion Daley,4,,,
Coconino,President,,DEM,Orion Daley,6,,,
Gila,President,,DEM,Orion Daley,7,,,
Graham,President,,DEM,Orion Daley,4,,,
Greenlee,President,,DEM,Orion Daley,1,,,
La Paz,President,,DEM,Orion Daley,0,,,
Maricopa,President,,DEM,Orion Daley,35,,,
Mohave,President,,DEM,Orion Daley,3,,,
Navajo,President,,DEM,Orion Daley,8,,,
Pima,President,,DEM,Orion Daley,16,,,
Pinal,President,,DEM,Orion Daley,4,,,
Santa Cruz,President,,DEM,Orion Daley,1,,,
Yavapai,President,,DEM,Orion Daley,0,,,
Yuma,President,,DEM,Orion Daley,1,,,
,President,,DEM,Orion Daley,98,,,
Apache,President,,DEM,Edward Dobson,20,,,
Cochise,President,,DEM,Edward Dobson,14,,,
Coconino,President,,DEM,Edward Dobson,18,,,
Gila,President,,DEM,Edward Dobson,14,,,
Graham,President,,DEM,Edward Dobson,2,,,
Greenlee,President,,DEM,Edward Dobson,0,,,
La Paz,President,,DEM,Edward Dobson,2,,,
Maricopa,President,,DEM,Edward Dobson,203,,,
Mohave,President,,DEM,Edward Dobson,13,,,
Navajo,President,,DEM,Edward Dobson,18,,,
Pima,President,,DEM,Edward Dobson,51,,,
Pinal,President,,DEM,Edward Dobson,18,,,
Santa Cruz,President,,DEM,Edward Dobson,5,,,
Yavapai,President,,DEM,Edward Dobson,6,,,
Yuma,President,,DEM,Edward Dobson,14,,,
,President,,DEM,Edward Dobson,398,,,
Apache,President,,DEM,Christopher J. Dodd,5,,,
Cochise,President,,DEM,Christopher J. Dodd,14,,,
Coconino,President,,DEM,Christopher J. Dodd,13,,,
Gila,President,,DEM,Christopher J. Dodd,12,,,
Graham,President,,DEM,Christopher J. Dodd,10,,,
Greenlee,President,,DEM,Christopher J. Dodd,0,,,
La Paz,President,,DEM,Christopher J. Dodd,1,,,
Maricopa,President,,DEM,Christopher J. Dodd,275,,,
Mohave,President,,DEM,Christopher J. Dodd,16,,,
Navajo,President,,DEM,Christopher J. Dodd,15,,,
Pima,President,,DEM,Christopher J. Dodd,59,,,
Pinal,President,,DEM,Christopher J. Dodd,26,,,
Santa Cruz,President,,DEM,Christopher J. Dodd,6,,,
Yavapai,President,,DEM,Christopher J. Dodd,12,,,
Yuma,President,,DEM,Christopher J. Dodd,20,,,
,President,,DEM,Christopher J. Dodd,484,,,
Apache,President,,DEM,John Edwards,208,,,
Cochise,President,,DEM,John Edwards,468,,,
Coconino,President,,DEM,John Edwards,360,,,
Gila,President,,DEM,John Edwards,633,,,
Graham,President,,DEM,John Edwards,184,,,
Greenlee,President,,DEM,John Edwards,121,,,
La Paz,President,,DEM,John Edwards,57,,,
Maricopa,President,,DEM,John Edwards,15712,,,
Mohave,President,,DEM,John Edwards,591,,,
Navajo,President,,DEM,John Edwards,325,,,
Pima,President,,DEM,John Edwards,2483,,,
Pinal,President,,DEM,John Edwards,973,,,
Santa Cruz,President,,DEM,John Edwards,74,,,
Yavapai,President,,DEM,John Edwards,608,,,
Yuma,President,,DEM,John Edwards,824,,,
,President,,DEM,John Edwards,23621,,,
Apache,President,,DEM,Loti Gest,3,,,
Cochise,President,,DEM,Loti Gest,2,,,
Coconino,President,,DEM,Loti Gest,4,,,
Gila,President,,DEM,Loti Gest,5,,,
Graham,President,,DEM,Loti Gest,1,,,
Greenlee,President,,DEM,Loti Gest,1,,,
La Paz,President,,DEM,Loti Gest,1,,,
Maricopa,President,,DEM,Loti Gest,33,,,
Mohave,President,,DEM,Loti Gest,2,,,
Navajo,President,,DEM,Loti Gest,2,,,
Pima,President,,DEM,Loti Gest,15,,,
Pinal,President,,DEM,Loti Gest,5,,,
Santa Cruz,President,,DEM,Loti Gest,0,,,
Yavapai,President,,DEM,Loti Gest,5,,,
Yuma,President,,DEM,Loti Gest,3,,,
,President,,DEM,Loti Gest,82,,,
Apache,President,,DEM,Mike Gravel,5,,,
Cochise,President,,DEM,Mike Gravel,14,,,
Coconino,President,,DEM,Mike Gravel,7,,,
Gila,President,,DEM,Mike Gravel,7,,,
Graham,President,,DEM,Mike Gravel,0,,,
Greenlee,President,,DEM,Mike Gravel,0,,,
La Paz,President,,DEM,Mike Gravel,3,,,
Maricopa,President,,DEM,Mike Gravel,154,,,
Mohave,President,,DEM,Mike Gravel,5,,,
Navajo,President,,DEM,Mike Gravel,15,,,
Pima,President,,DEM,Mike Gravel,94,,,
Pinal,President,,DEM,Mike Gravel,16,,,
Santa Cruz,President,,DEM,Mike Gravel,0,,,
Yavapai,President,,DEM,Mike Gravel,13,,,
Yuma,President,,DEM,Mike Gravel,7,,,
,President,,DEM,Mike Gravel,340,,,
Apache,President,,DEM,Richard Grayson,6,,,
Cochise,President,,DEM,Richard Grayson,10,,,
Coconino,President,,DEM,Richard Grayson,10,,,
Gila,President,,DEM,Richard Grayson,13,,,
Graham,President,,DEM,Richard Grayson,9,,,
Greenlee,President,,DEM,Richard Grayson,8,,,
La Paz,President,,DEM,Richard Grayson,8,,,
Maricopa,President,,DEM,Richard Grayson,155,,,
Mohave,President,,DEM,Richard Grayson,15,,,
Navajo,President,,DEM,Richard Grayson,20,,,
Pima,President,,DEM,Richard Grayson,32,,,
Pinal,President,,DEM,Richard Grayson,22,,,
Santa Cruz,President,,DEM,Richard Grayson,4,,,
Yavapai,President,,DEM,Richard Grayson,7,,,
Yuma,President,,DEM,Richard Grayson,3,,,
,President,,DEM,Richard Grayson,322,,,
Apache,President,,DEM,Tish Haymer,5,,,
Cochise,President,,DEM,Tish Haymer,2,,,
Coconino,President,,DEM,Tish Haymer,4,,,
Gila,President,,DEM,Tish Haymer,7,,,
Graham,President,,DEM,Tish Haymer,0,,,
Greenlee,President,,DEM,Tish Haymer,1,,,
La Paz,President,,DEM,Tish Haymer,1,,,
Maricopa,President,,DEM,Tish Haymer,54,,,
Mohave,President,,DEM,Tish Haymer,5,,,
Navajo,President,,DEM,Tish Haymer,4,,,
Pima,President,,DEM,Tish Haymer,12,,,
Pinal,President,,DEM,Tish Haymer,7,,,
Santa Cruz,President,,DEM,Tish Haymer,0,,,
Yavapai,President,,DEM,Tish Haymer,3,,,
Yuma,President,,DEM,Tish Haymer,2,,,
,President,,DEM,Tish Haymer,107,,,
Apache,President,,DEM,Libby Hubbard,15,,,
Cochise,President,,DEM,Libby Hubbard,7,,,
Coconino,President,,DEM,Libby Hubbard,12,,,
Gila,President,,DEM,Libby Hubbard,8,,,
Graham,President,,DEM,Libby Hubbard,2,,,
Greenlee,President,,DEM,Libby Hubbard,2,,,
La Paz,President,,DEM,Libby Hubbard,1,,,
Maricopa,President,,DEM,Libby Hubbard,69,,,
Mohave,President,,DEM,Libby Hubbard,13,,,
Navajo,President,,DEM,Libby Hubbard,10,,,
Pima,President,,DEM,Libby Hubbard,40,,,
Pinal,President,,DEM,Libby Hubbard,11,,,
Santa Cruz,President,,DEM,Libby Hubbard,4,,,
Yavapai,President,,DEM,Libby Hubbard,6,,,
Yuma,President,,DEM,Libby Hubbard,9,,,
,President,,DEM,Libby Hubbard,209,,,
Apache,President,,DEM,Karl Krueger,16,,,
Cochise,President,,DEM,Karl Krueger,5,,,
Coconino,President,,DEM,Karl Krueger,22,,,
Gila,President,,DEM,Karl Krueger,10,,,
Graham,President,,DEM,Karl Krueger,0,,,
Greenlee,President,,DEM,Karl Krueger,0,,,
La Paz,President,,DEM,Karl Krueger,2,,,
Maricopa,President,,DEM,Karl Krueger,127,,,
Mohave,President,,DEM,Karl Krueger,10,,,
Navajo,President,,DEM,Karl Krueger,28,,,
Pima,President,,DEM,Karl Krueger,38,,,
Pinal,President,,DEM,Karl Krueger,18,,,
Santa Cruz,President,,DEM,Karl Krueger,2,,,
Yavapai,President,,DEM,Karl Krueger,7,,,
Yuma,President,,DEM,Karl Krueger,6,,,
,President,,DEM,Karl Krueger,291,,,
Apache,President,,DEM,Dennis J. Kucinich,20,,,
Cochise,President,,DEM,Dennis J. Kucinich,63,,,
Coconino,President,,DEM,Dennis J. Kucinich,43,,,
Gila,President,,DEM,Dennis J. Kucinich,28,,,
Graham,President,,DEM,Dennis J. Kucinich,4,,,
Greenlee,President,,DEM,Dennis J. Kucinich,3,,,
La Paz,President,,DEM,Dennis J. Kucinich,0,,,
Maricopa,President,,DEM,Dennis J. Kucinich,1215,,,
Mohave,President,,DEM,Dennis J. Kucinich,50,,,
Navajo,President,,DEM,Dennis J. Kucinich,33,,,
Pima,President,,DEM,Dennis J. Kucinich,365,,,
Pinal,President,,DEM,Dennis J. Kucinich,65,,,
Santa Cruz,President,,DEM,Dennis J. Kucinich,13,,,
Yavapai,President,,DEM,Dennis J. Kucinich,43,,,
Yuma,President,,DEM,Dennis J. Kucinich,28,,,
,President,,DEM,Dennis J. Kucinich,1973,,,
Apache,President,,DEM,Rich Lee,6,,,
Cochise,President,,DEM,Rich Lee,2,,,
Coconino,President,,DEM,Rich Lee,11,,,
Gila,President,,DEM,Rich Lee,3,,,
Graham,President,,DEM,Rich Lee,6,,,
Greenlee,President,,DEM,Rich Lee,2,,,
La Paz,President,,DEM,Rich Lee,2,,,
Maricopa,President,,DEM,Rich Lee,60,,,
Mohave,President,,DEM,Rich Lee,8,,,
Navajo,President,,DEM,Rich Lee,10,,,
Pima,President,,DEM,Rich Lee,25,,,
Pinal,President,,DEM,Rich Lee,12,,,
Santa Cruz,President,,DEM,Rich Lee,1,,,
Yavapai,President,,DEM,Rich Lee,5,,,
Yuma,President,,DEM,Rich Lee,9,,,
,President,,DEM,Rich Lee,162,,,
Apache,President,,DEM,Frank Lynch,29,,,
Cochise,President,,DEM,Frank Lynch,5,,,
Coconino,President,,DEM,Frank Lynch,15,,,
Gila,President,,DEM,Frank Lynch,7,,,
Graham,President,,DEM,Frank Lynch,8,,,
Greenlee,President,,DEM,Frank Lynch,3,,,
La Paz,President,,DEM,Frank Lynch,3,,,
Maricopa,President,,DEM,Frank Lynch,84,,,
Mohave,President,,DEM,Frank Lynch,8,,,
Navajo,President,,DEM,Frank Lynch,18,,,
Pima,President,,DEM,Frank Lynch,23,,,
Pinal,President,,DEM,Frank Lynch,30,,,
Santa Cruz,President,,DEM,Frank Lynch,0,,,
Yavapai,President,,DEM,Frank Lynch,10,,,
Yuma,President,,DEM,Frank Lynch,5,,,
,President,,DEM,Frank Lynch,248,,,
Apache,President,,DEM,Leland Montell,11,,,
Cochise,President,,DEM,Leland Montell,5,,,
Coconino,President,,DEM,Leland Montell,4,,,
Gila,President,,DEM,Leland Montell,2,,,
Graham,President,,DEM,Leland Montell,2,,,
Greenlee,President,,DEM,Leland Montell,1,,,
La Paz,President,,DEM,Leland Montell,1,,,
Maricopa,President,,DEM,Leland Montell,28,,,
Mohave,President,,DEM,Leland Montell,2,,,
Navajo,President,,DEM,Leland Montell,9,,,
Pima,President,,DEM,Leland Montell,20,,,
Pinal,President,,DEM,Leland Montell,2,,,
Santa Cruz,President,,DEM,Leland Montell,0,,,
Yavapai,President,,DEM,Leland Montell,5,,,
Yuma,President,,DEM,Leland Montell,2,,,
,President,,DEM,Leland Montell,94,,,
Apache,President,,DEM,Michael Oatman,13,,,
Cochise,President,,DEM,Michael Oatman,5,,,
Coconino,President,,DEM,Michael Oatman,10,,,
Gila,President,,DEM,Michael Oatman,12,,,
Graham,President,,DEM,Michael Oatman,3,,,
Greenlee,President,,DEM,Michael Oatman,3,,,
La Paz,President,,DEM,Michael Oatman,0,,,
Maricopa,President,,DEM,Michael Oatman,80,,,
Mohave,President,,DEM,Michael Oatman,17,,,
Navajo,President,,DEM,Michael Oatman,7,,,
Pima,President,,DEM,Michael Oatman,20,,,
Pinal,President,,DEM,Michael Oatman,9,,,
Santa Cruz,President,,DEM,Michael Oatman,1,,,
Yavapai,President,,DEM,Michael Oatman,3,,,
Yuma,President,,DEM,Michael Oatman,9,,,
,President,,DEM,Michael Oatman,192,,,
Apache,President,,DEM,Barack Obama,1977,,,
Cochise,President,,DEM,Barack Obama,3782,,,
Coconino,President,,DEM,Barack Obama,6410,,,
Gila,President,,DEM,Barack Obama,2102,,,
Graham,President,,DEM,Barack Obama,904,,,
Greenlee,President,,DEM,Barack Obama,383,,,
La Paz,President,,DEM,Barack Obama,359,,,
Maricopa,President,,DEM,Barack Obama,108235,,,
Mohave,President,,DEM,Barack Obama,3237,,,
Navajo,President,,DEM,Barack Obama,2838,,,
Pima,President,,DEM,Barack Obama,44446,,,
Pinal,President,,DEM,Barack Obama,7542,,,
Santa Cruz,President,,DEM,Barack Obama,1175,,,
Yavapai,President,,DEM,Barack Obama,7288,,,
Yuma,President,,DEM,Barack Obama,2448,,,
,President,,DEM,Barack Obama,193126,,,
Apache,President,,DEM,Bill Richardson,267,,,
Cochise,President,,DEM,Bill Richardson,58,,,
Coconino,President,,DEM,Bill Richardson,113,,,
Gila,President,,DEM,Bill Richardson,90,,,
Graham,President,,DEM,Bill Richardson,50,,,
Greenlee,President,,DEM,Bill Richardson,30,,,
La Paz,President,,DEM,Bill Richardson,10,,,
Maricopa,President,,DEM,Bill Richardson,1278,,,
Mohave,President,,DEM,Bill Richardson,92,,,
Navajo,President,,DEM,Bill Richardson,181,,,
Pima,President,,DEM,Bill Richardson,348,,,
Pinal,President,,DEM,Bill Richardson,120,,,
Santa Cruz,President,,DEM,Bill Richardson,23,,,
Yavapai,President,,DEM,Bill Richardson,80,,,
Yuma,President,,DEM,Bill Richardson,102,,,
,President,,DEM,Bill Richardson,2842,,,
Apache,President,,DEM,Chuck See,9,,,
Cochise,President,,DEM,Chuck See,8,,,
Coconino,President,,DEM,Chuck See,8,,,
Gila,President,,DEM,Chuck See,10,,,
Graham,President,,DEM,Chuck See,4,,,
Greenlee,President,,DEM,Chuck See,1,,,
La Paz,President,,DEM,Chuck See,0,,,
Maricopa,President,,DEM,Chuck See,113,,,
Mohave,President,,DEM,Chuck See,7,,,
Navajo,President,,DEM,Chuck See,10,,,
Pima,President,,DEM,Chuck See,52,,,
Pinal,President,,DEM,Chuck See,13,,,
Santa Cruz,President,,DEM,Chuck See,0,,,
Yavapai,President,,DEM,Chuck See,8,,,
Yuma,President,,DEM,Chuck See,6,,,
,President,,DEM,Chuck See,249,,,
Apache,President,,DEM,Philip Tanner,8,,,
Cochise,President,,DEM,Philip Tanner,4,,,
Coconino,President,,DEM,Philip Tanner,8,,,
Gila,President,,DEM,Philip Tanner,4,,,
Graham,President,,DEM,Philip Tanner,2,,,
Greenlee,President,,DEM,Philip Tanner,0,,,
La Paz,President,,DEM,Philip Tanner,1,,,
Maricopa,President,,DEM,Philip Tanner,61,,,
Mohave,President,,DEM,Philip Tanner,3,,,
Navajo,President,,DEM,Philip Tanner,6,,,
Pima,President,,DEM,Philip Tanner,14,,,
Pinal,President,,DEM,Philip Tanner,10,,,
Santa Cruz,President,,DEM,Philip Tanner,0,,,
Yavapai,President,,DEM,Philip Tanner,2,,,
Yuma,President,,DEM,Philip Tanner,7,,,
,President,,DEM,Philip Tanner,130,,,
Apache,President,,DEM,Evelyn L. Vitullo,12,,,
Cochise,President,,DEM,Evelyn L. Vitullo,5,,,
Coconino,President,,DEM,Evelyn L. Vitullo,0,,,
Gila,President,,DEM,Evelyn L. Vitullo,5,,,
Graham,President,,DEM,Evelyn L. Vitullo,2,,,
Greenlee,President,,DEM,Evelyn L. Vitullo,0,,,
La Paz,President,,DEM,Evelyn L. Vitullo,0,,,
Maricopa,President,,DEM,Evelyn L. Vitullo,79,,,
Mohave,President,,DEM,Evelyn L. Vitullo,2,,,
Navajo,President,,DEM,Evelyn L. Vitullo,4,,,
Pima,President,,DEM,Evelyn L. Vitullo,11,,,
Pinal,President,,DEM,Evelyn L. Vitullo,9,,,
Santa Cruz,President,,DEM,Evelyn L. Vitullo,0,,,
Yavapai,President,,DEM,Evelyn L. Vitullo,2,,,
Yuma,President,,DEM,Evelyn L. Vitullo,1,,,
,President,,DEM,Evelyn L. Vitullo,132,,,
Apache,President,,DEM,Sandy Whitehouse,44,,,
Cochise,President,,DEM,Sandy Whitehouse,13,,,
Coconino,President,,DEM,Sandy Whitehouse,53,,,
Gila,President,,DEM,Sandy Whitehouse,15,,,
Graham,President,,DEM,Sandy Whitehouse,8,,,
Greenlee,President,,DEM,Sandy Whitehouse,2,,,
La Paz,President,,DEM,Sandy Whitehouse,3,,,
Maricopa,President,,DEM,Sandy Whitehouse,238,,,
Mohave,President,,DEM,Sandy Whitehouse,27,,,
Navajo,President,,DEM,Sandy Whitehouse,53,,,
Pima,President,,DEM,Sandy Whitehouse,105,,,
Pinal,President,,DEM,Sandy Whitehouse,33,,,
Santa Cruz,President,,DEM,Sandy Whitehouse,6,,,
Yavapai,President,,DEM,Sandy Whitehouse,12,,,
Yuma,President,,DEM,Sandy Whitehouse,20,,,
