county,precinct,office,district,party,candidate,votes,early_voting,late_votes,election_day,provisional
Graham,Solomon #1,Registered Voters,,,,1021,,,,
Graham,Safford #2,Registered Voters,,,,1762,,,,
Graham,Safford #3,Registered Voters,,,,687,,,,
Graham,Layton #4,Registered Voters,,,,614,,,,
Graham,Layton #5,Registered Voters,,,,1473,,,,
Graham,Thatcher #6,Registered Voters,,,,874,,,,
Graham,Thatcher #7,Registered Voters,,,,1793,,,,
Graham,Central #8,Registered Voters,,,,575,,,,
Graham,Pima #9,Registered Voters,,,,2545,,,,
Graham,Ft. Thomas #10,Registered Voters,,,,260,,,,
Graham,Bylas #11,Registered Voters,,,,1014,,,,
Graham,Klondyke #12,Registered Voters,,,,65,,,,
Graham,Bonita #13,Registered Voters,,,,150,,,,
Graham,Thunderbird #14,Registered Voters,,,,365,,,,
Graham,Safford #15,Registered Voters,,,,1626,,,,
Graham,Peridot #16,Registered Voters,,,,1036,,,,
Graham,Cactus #17,Registered Voters,,,,213,,,,
Graham,Jackson #18,Registered Voters,,,,1220,,,,
Graham,Desert Hills #19,Registered Voters,,,,1242,,,,
Graham,Artesia #20,Registered Voters,,,,796,,,,
Graham,Quatro Cerros #21,Registered Voters,,,,111,,,,
Graham,Gila River #22,Registered Voters,,,,45,,,,
Graham,Solomon #1,Ballots Cast,,,,607,346,55,206,0
Graham,Safford #2,Ballots Cast,,,,855,508,93,249,5
Graham,Safford #3,Ballots Cast,,,,418,271,24,121,2
Graham,Layton #4,Ballots Cast,,,,350,226,19,104,1
Graham,Layton #5,Ballots Cast,,,,849,530,102,213,4
Graham,Thatcher #6,Ballots Cast,,,,542,283,80,175,4
Graham,Thatcher #7,Ballots Cast,,,,1105,638,127,335,5
Graham,Central #8,Ballots Cast,,,,404,207,72,120,5
Graham,Pima #9,Ballots Cast,,,,1629,794,192,610,33
Graham,Ft. Thomas #10,Ballots Cast,,,,177,68,31,78,0
Graham,Bylas #11,Ballots Cast,,,,302,86,17,193,6
Graham,Klondyke #12,Ballots Cast,,,,50,39,3,7,1
Graham,Bonita #13,Ballots Cast,,,,126,45,29,46,6
Graham,Thunderbird #14,Ballots Cast,,,,229,121,21,85,2
Graham,Safford #15,Ballots Cast,,,,954,627,88,236,3
Graham,Peridot #16,Ballots Cast,,,,253,93,21,133,6
Graham,Cactus #17,Ballots Cast,,,,143,95,13,34,1
Graham,Jackson #18,Ballots Cast,,,,773,442,100,230,1
Graham,Desert Hills #19,Ballots Cast,,,,687,403,54,222,8
Graham,Artesia #20,Ballots Cast,,,,465,253,49,158,5
Graham,Quatro Cerros #21,Ballots Cast,,,,71,54,6,11,0
Graham,Gila River #22,Ballots Cast,,,,17,11,0,6,0
Graham,Solomon #1,U.S. Senate,,DEM,Mark Kelly,205,148,17,40,0
Graham,Safford #2,U.S. Senate,,DEM,Mark Kelly,335,240,35,60,0
Graham,Safford #3,U.S. Senate,,DEM,Mark Kelly,135,102,6,27,0
Graham,Layton #4,U.S. Senate,,DEM,Mark Kelly,143,108,7,28,0
Graham,Layton #5,U.S. Senate,,DEM,Mark Kelly,268,211,19,37,1
Graham,Thatcher #6,U.S. Senate,,DEM,Mark Kelly,96,62,10,24,0
Graham,Thatcher #7,U.S. Senate,,DEM,Mark Kelly,285,203,25,57,0
Graham,Central #8,U.S. Senate,,DEM,Mark Kelly,47,30,5,12,0
Graham,Pima #9,U.S. Senate,,DEM,Mark Kelly,297,211,22,64,0
Graham,Ft. Thomas #10,U.S. Senate,,DEM,Mark Kelly,22,15,4,3,0
Graham,Bylas #11,U.S. Senate,,DEM,Mark Kelly,267,79,11,172,5
Graham,Klondyke #12,U.S. Senate,,DEM,Mark Kelly,12,9,1,1,1
Graham,Bonita #13,U.S. Senate,,DEM,Mark Kelly,14,8,1,4,1
Graham,Thunderbird #14,U.S. Senate,,DEM,Mark Kelly,47,25,6,16,0
Graham,Safford #15,U.S. Senate,,DEM,Mark Kelly,368,285,29,53,1
Graham,Peridot #16,U.S. Senate,,DEM,Mark Kelly,217,82,18,112,5
Graham,Cactus #17,U.S. Senate,,DEM,Mark Kelly,41,38,0,3,0
Graham,Jackson #18,U.S. Senate,,DEM,Mark Kelly,170,108,23,39,0
Graham,Desert Hills #19,U.S. Senate,,DEM,Mark Kelly,147,118,13,15,1
Graham,Artesia #20,U.S. Senate,,DEM,Mark Kelly,101,61,15,24,1
Graham,Quatro Cerros #21,U.S. Senate,,DEM,Mark Kelly,17,17,0,0,0
Graham,Gila River #22,U.S. Senate,,DEM,Mark Kelly,9,8,0,1,0
Graham,Solomon #1,U.S. Senate,,REP,Blake Masters,382,184,37,161,0
Graham,Safford #2,U.S. Senate,,REP,Blake Masters,499,254,56,184,5
Graham,Safford #3,U.S. Senate,,REP,Blake Masters,265,153,16,94,2
Graham,Layton #4,U.S. Senate,,REP,Blake Masters,188,104,11,72,1
Graham,Layton #5,U.S. Senate,,REP,Blake Masters,555,300,80,172,3
Graham,Thatcher #6,U.S. Senate,,REP,Blake Masters,425,206,67,148,4
Graham,Thatcher #7,U.S. Senate,,REP,Blake Masters,784,413,99,268,4
Graham,Central #8,U.S. Senate,,REP,Blake Masters,350,171,67,107,5
Graham,Pima #9,U.S. Senate,,REP,Blake Masters,1282,550,169,531,32
Graham,Ft. Thomas #10,U.S. Senate,,REP,Blake Masters,152,52,27,73,0
Graham,Bylas #11,U.S. Senate,,REP,Blake Masters,26,4,6,15,1
Graham,Klondyke #12,U.S. Senate,,REP,Blake Masters,32,24,2,6,0
Graham,Bonita #13,U.S. Senate,,REP,Blake Masters,110,35,28,42,5
Graham,Thunderbird #14,U.S. Senate,,REP,Blake Masters,168,88,15,63,2
Graham,Safford #15,U.S. Senate,,REP,Blake Masters,549,316,56,175,2
Graham,Peridot #16,U.S. Senate,,REP,Blake Masters,27,6,2,18,1
Graham,Cactus #17,U.S. Senate,,REP,Blake Masters,94,51,12,30,1
Graham,Jackson #18,U.S. Senate,,REP,Blake Masters,580,326,72,181,1
Graham,Desert Hills #19,U.S. Senate,,REP,Blake Masters,511,266,40,198,7
Graham,Artesia #20,U.S. Senate,,REP,Blake Masters,350,184,34,128,4
Graham,Quatro Cerros #21,U.S. Senate,,REP,Blake Masters,51,36,5,10,0
Graham,Gila River #22,U.S. Senate,,REP,Blake Masters,8,3,0,5,0
Graham,Solomon #1,U.S. Senate,,LIB,Marc J. Victor,15,11,1,3,0
Graham,Safford #2,U.S. Senate,,LIB,Marc J. Victor,14,11,2,1,0
Graham,Safford #3,U.S. Senate,,LIB,Marc J. Victor,15,13,2,0,0
Graham,Layton #4,U.S. Senate,,LIB,Marc J. Victor,9,5,1,3,0
Graham,Layton #5,U.S. Senate,,LIB,Marc J. Victor,20,14,3,3,0
Graham,Thatcher #6,U.S. Senate,,LIB,Marc J. Victor,15,11,1,3,0
Graham,Thatcher #7,U.S. Senate,,LIB,Marc J. Victor,27,17,1,8,1
Graham,Central #8,U.S. Senate,,LIB,Marc J. Victor,5,5,0,0,0
Graham,Pima #9,U.S. Senate,,LIB,Marc J. Victor,31,19,0,11,1
Graham,Ft. Thomas #10,U.S. Senate,,LIB,Marc J. Victor,1,0,0,1,0
Graham,Bylas #11,U.S. Senate,,LIB,Marc J. Victor,6,3,0,3,0
Graham,Klondyke #12,U.S. Senate,,LIB,Marc J. Victor,5,5,0,0,0
Graham,Bonita #13,U.S. Senate,,LIB,Marc J. Victor,2,2,0,0,0
Graham,Thunderbird #14,U.S. Senate,,LIB,Marc J. Victor,5,2,0,3,0
Graham,Safford #15,U.S. Senate,,LIB,Marc J. Victor,24,14,3,7,0
Graham,Peridot #16,U.S. Senate,,LIB,Marc J. Victor,4,3,0,1,0
Graham,Cactus #17,U.S. Senate,,LIB,Marc J. Victor,6,4,1,1,0
Graham,Jackson #18,U.S. Senate,,LIB,Marc J. Victor,16,7,3,6,0
Graham,Desert Hills #19,U.S. Senate,,LIB,Marc J. Victor,22,14,0,8,0
Graham,Artesia #20,U.S. Senate,,LIB,Marc J. Victor,12,7,0,5,0
Graham,Quatro Cerros #21,U.S. Senate,,LIB,Marc J. Victor,1,1,0,0,0
Graham,Gila River #22,U.S. Senate,,LIB,Marc J. Victor,0,0,0,0,0
Graham,Solomon #1,U.S. Senate,,,Write-ins,2,2,0,0,0
Graham,Safford #2,U.S. Senate,,,Write-ins,3,2,0,1,0
Graham,Safford #3,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Layton #4,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Layton #5,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Thatcher #6,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Thatcher #7,U.S. Senate,,,Write-ins,1,1,0,0,0
Graham,Central #8,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Pima #9,U.S. Senate,,,Write-ins,1,1,0,0,0
Graham,Ft. Thomas #10,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Bylas #11,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Klondyke #12,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Bonita #13,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Thunderbird #14,U.S. Senate,,,Write-ins,2,2,0,0,0
Graham,Safford #15,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Peridot #16,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Cactus #17,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Jackson #18,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Desert Hills #19,U.S. Senate,,,Write-ins,1,0,0,1,0
Graham,Artesia #20,U.S. Senate,,,Write-ins,1,1,0,0,0
Graham,Quatro Cerros #21,U.S. Senate,,,Write-ins,1,0,0,1,0
Graham,Gila River #22,U.S. Senate,,,Write-ins,0,0,0,0,0
Graham,Bylas #11,U.S. House,2,DEM,Tom O'Halleran,271,79,12,175,5
Graham,Peridot #16,U.S. House,2,DEM,Tom O'Halleran,218,82,19,111,6
Graham,Bylas #11,U.S. House,2,REP,Eli Crane,25,6,5,13,1
Graham,Peridot #16,U.S. House,2,REP,Eli Crane,26,7,2,17,0
Graham,Bylas #11,U.S. House,2,,Write-ins,0,0,0,0,0
Graham,Peridot #16,U.S. House,2,,Write-ins,2,0,0,2,0
Graham,Solomon #1,U.S. House,6,DEM,Kirsten Engel,180,136,12,32,0
Graham,Safford #2,U.S. House,6,DEM,Kirsten Engel,274,201,24,48,1
Graham,Safford #3,U.S. House,6,DEM,Kirsten Engel,116,93,5,18,0
Graham,Layton #4,U.S. House,6,DEM,Kirsten Engel,129,94,7,28,0
Graham,Layton #5,U.S. House,6,DEM,Kirsten Engel,232,181,21,29,1
Graham,Thatcher #6,U.S. House,6,DEM,Kirsten Engel,68,52,6,10,0
Graham,Thatcher #7,U.S. House,6,DEM,Kirsten Engel,240,169,24,47,0
Graham,Central #8,U.S. House,6,DEM,Kirsten Engel,38,27,2,9,0
Graham,Pima #9,U.S. House,6,DEM,Kirsten Engel,242,173,20,49,0
Graham,Ft. Thomas #10,U.S. House,6,DEM,Kirsten Engel,21,14,3,4,0
Graham,Klondyke #12,U.S. House,6,DEM,Kirsten Engel,13,11,1,1,0
Graham,Bonita #13,U.S. House,6,DEM,Kirsten Engel,9,6,0,3,0
Graham,Thunderbird #14,U.S. House,6,DEM,Kirsten Engel,38,21,6,11,0
Graham,Safford #15,U.S. House,6,DEM,Kirsten Engel,310,238,27,44,1
Graham,Cactus #17,U.S. House,6,DEM,Kirsten Engel,41,38,0,3,0
Graham,Jackson #18,U.S. House,6,DEM,Kirsten Engel,145,90,23,32,0
Graham,Desert Hills #19,U.S. House,6,DEM,Kirsten Engel,121,101,11,8,1
Graham,Artesia #20,U.S. House,6,DEM,Kirsten Engel,88,56,10,21,1
Graham,Quatro Cerros #21,U.S. House,6,DEM,Kirsten Engel,15,15,0,0,0
Graham,Gila River #22,U.S. House,6,DEM,Kirsten Engel,9,8,0,1,0
Graham,Solomon #1,U.S. House,6,REP,Juan Ciscomani,417,206,42,169,0
Graham,Safford #2,U.S. House,6,REP,Juan Ciscomani,564,293,68,199,4
Graham,Safford #3,U.S. House,6,REP,Juan Ciscomani,288,168,18,100,2
Graham,Layton #4,U.S. House,6,REP,Juan Ciscomani,216,128,12,75,1
Graham,Layton #5,U.S. House,6,REP,Juan Ciscomani,598,334,81,180,3
Graham,Thatcher #6,U.S. House,6,REP,Juan Ciscomani,468,227,72,165,4
Graham,Thatcher #7,U.S. House,6,REP,Juan Ciscomani,848,461,101,281,5
Graham,Central #8,U.S. House,6,REP,Juan Ciscomani,362,178,68,111,5
Graham,Pima #9,U.S. House,6,REP,Juan Ciscomani,1364,606,170,555,33
Graham,Ft. Thomas #10,U.S. House,6,REP,Juan Ciscomani,152,53,28,71,0
Graham,Klondyke #12,U.S. House,6,REP,Juan Ciscomani,35,27,2,6,0
Graham,Bonita #13,U.S. House,6,REP,Juan Ciscomani,116,39,28,43,6
Graham,Thunderbird #14,U.S. House,6,REP,Juan Ciscomani,182,95,15,70,2
Graham,Safford #15,U.S. House,6,REP,Juan Ciscomani,620,376,56,186,2
Graham,Cactus #17,U.S. House,6,REP,Juan Ciscomani,101,57,13,30,1
Graham,Jackson #18,U.S. House,6,REP,Juan Ciscomani,617,350,76,190,1
Graham,Desert Hills #19,U.S. House,6,REP,Juan Ciscomani,553,293,43,211,6
Graham,Artesia #20,U.S. House,6,REP,Juan Ciscomani,374,195,39,136,4
Graham,Quatro Cerros #21,U.S. House,6,REP,Juan Ciscomani,55,39,5,11,0
Graham,Gila River #22,U.S. House,6,REP,Juan Ciscomani,8,3,0,5,0
Graham,Solomon #1,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Safford #2,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Safford #3,U.S. House,6,,Write-ins,1,0,0,1,0
Graham,Layton #4,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Layton #5,U.S. House,6,,Write-ins,4,4,0,0,0
Graham,Thatcher #6,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Thatcher #7,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Central #8,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Pima #9,U.S. House,6,,Write-ins,2,2,0,0,0
Graham,Ft. Thomas #10,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Klondyke #12,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Bonita #13,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Thunderbird #14,U.S. House,6,,Write-ins,1,1,0,0,0
Graham,Safford #15,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Cactus #17,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Jackson #18,U.S. House,6,,Write-ins,1,0,0,1,0
Graham,Desert Hills #19,U.S. House,6,,Write-ins,1,0,0,1,0
Graham,Artesia #20,U.S. House,6,,Write-ins,1,1,0,0,0
Graham,Quatro Cerros #21,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Gila River #22,U.S. House,6,,Write-ins,0,0,0,0,0
Graham,Solomon #1,Governor,,DEM,Katie Hobbs,200,142,16,42,0
Graham,Safford #2,Governor,,DEM,Katie Hobbs,294,214,24,56,0
Graham,Safford #3,Governor,,DEM,Katie Hobbs,129,98,8,23,0
Graham,Layton #4,Governor,,DEM,Katie Hobbs,144,110,7,27,0
Graham,Layton #5,Governor,,DEM,Katie Hobbs,255,199,20,35,1
Graham,Thatcher #6,Governor,,DEM,Katie Hobbs,94,66,11,17,0
Graham,Thatcher #7,Governor,,DEM,Katie Hobbs,272,187,26,59,0
Graham,Central #8,Governor,,DEM,Katie Hobbs,45,33,5,7,0
Graham,Pima #9,Governor,,DEM,Katie Hobbs,276,190,22,63,1
Graham,Ft. Thomas #10,Governor,,DEM,Katie Hobbs,22,15,4,3,0
Graham,Bylas #11,Governor,,DEM,Katie Hobbs,265,79,12,169,5
Graham,Klondyke #12,Governor,,DEM,Katie Hobbs,14,11,1,1,1
Graham,Bonita #13,Governor,,DEM,Katie Hobbs,11,7,0,4,0
Graham,Thunderbird #14,Governor,,DEM,Katie Hobbs,41,24,5,12,0
Graham,Safford #15,Governor,,DEM,Katie Hobbs,350,265,33,51,1
Graham,Peridot #16,Governor,,DEM,Katie Hobbs,214,86,18,105,5
Graham,Cactus #17,Governor,,DEM,Katie Hobbs,41,38,1,2,0
Graham,Jackson #18,Governor,,DEM,Katie Hobbs,163,99,24,40,0
Graham,Desert Hills #19,Governor,,DEM,Katie Hobbs,138,109,14,14,1
Graham,Artesia #20,Governor,,DEM,Katie Hobbs,95,58,11,25,1
Graham,Quatro Cerros #21,Governor,,DEM,Katie Hobbs,14,14,0,0,0
Graham,Gila River #22,Governor,,DEM,Katie Hobbs,10,9,0,1,0
Graham,Solomon #1,Governor,,REP,Kari Lake,405,203,39,163,0
Graham,Safford #2,Governor,,REP,Kari Lake,545,280,68,192,5
Graham,Safford #3,Governor,,REP,Kari Lake,280,165,16,97,2
Graham,Layton #4,Governor,,REP,Kari Lake,194,105,12,76,1
Graham,Layton #5,Governor,,REP,Kari Lake,587,326,81,177,3
Graham,Thatcher #6,Governor,,REP,Kari Lake,438,209,69,156,4
Graham,Thatcher #7,Governor,,REP,Kari Lake,824,447,100,272,5
Graham,Central #8,Governor,,REP,Kari Lake,357,173,66,113,5
Graham,Pima #9,Governor,,REP,Kari Lake,1328,585,170,542,31
Graham,Ft. Thomas #10,Governor,,REP,Kari Lake,153,52,27,74,0
Graham,Bylas #11,Governor,,REP,Kari Lake,36,7,5,23,1
Graham,Klondyke #12,Governor,,REP,Kari Lake,35,28,2,5,0
Graham,Bonita #13,Governor,,REP,Kari Lake,115,38,29,42,6
Graham,Thunderbird #14,Governor,,REP,Kari Lake,182,91,16,73,2
Graham,Safford #15,Governor,,REP,Kari Lake,589,352,55,180,2
Graham,Peridot #16,Governor,,REP,Kari Lake,35,6,2,26,1
Graham,Cactus #17,Governor,,REP,Kari Lake,99,55,12,31,1
Graham,Jackson #18,Governor,,REP,Kari Lake,599,337,74,187,1
Graham,Desert Hills #19,Governor,,REP,Kari Lake,535,284,39,205,7
Graham,Artesia #20,Governor,,REP,Kari Lake,361,190,36,131,4
Graham,Quatro Cerros #21,Governor,,REP,Kari Lake,56,40,5,11,0
Graham,Gila River #22,Governor,,REP,Kari Lake,7,2,0,5,0
Graham,Solomon #1,Governor,,,Write-ins,0,0,0,0,0
Graham,Safford #2,Governor,,,Write-ins,1,1,0,0,0
Graham,Safford #3,Governor,,,Write-ins,1,0,0,1,0
Graham,Layton #4,Governor,,,Write-ins,1,0,0,1,0
Graham,Layton #5,Governor,,,Write-ins,1,1,0,0,0
Graham,Thatcher #6,Governor,,,Write-ins,4,3,0,1,0
Graham,Thatcher #7,Governor,,,Write-ins,1,0,0,1,0
Graham,Central #8,Governor,,,Write-ins,1,1,0,0,0
Graham,Pima #9,Governor,,,Write-ins,1,1,0,0,0
Graham,Ft. Thomas #10,Governor,,,Write-ins,0,0,0,0,0
Graham,Bylas #11,Governor,,,Write-ins,0,0,0,0,0
Graham,Klondyke #12,Governor,,,Write-ins,0,0,0,0,0
Graham,Bonita #13,Governor,,,Write-ins,0,0,0,0,0
Graham,Thunderbird #14,Governor,,,Write-ins,1,1,0,0,0
Graham,Safford #15,Governor,,,Write-ins,2,0,0,2,0
Graham,Peridot #16,Governor,,,Write-ins,1,0,1,0,0
Graham,Cactus #17,Governor,,,Write-ins,0,0,0,0,0
Graham,Jackson #18,Governor,,,Write-ins,2,1,1,0,0
Graham,Desert Hills #19,Governor,,,Write-ins,5,3,0,2,0
Graham,Artesia #20,Governor,,,Write-ins,3,2,1,0,0
Graham,Quatro Cerros #21,Governor,,,Write-ins,0,0,0,0,0
Graham,Gila River #22,Governor,,,Write-ins,0,0,0,0,0
Graham,Solomon #1,Secretary of State,,DEM,Adrian Fontes,205,146,16,43,0
Graham,Safford #2,Secretary of State,,DEM,Adrian Fontes,317,224,33,59,1
Graham,Safford #3,Secretary of State,,DEM,Adrian Fontes,131,102,7,22,0
Graham,Layton #4,Secretary of State,,DEM,Adrian Fontes,145,110,8,27,0
Graham,Layton #5,Secretary of State,,DEM,Adrian Fontes,269,211,23,34,1
Graham,Thatcher #6,Secretary of State,,DEM,Adrian Fontes,100,68,14,18,0
Graham,Thatcher #7,Secretary of State,,DEM,Adrian Fontes,283,200,32,51,0
Graham,Central #8,Secretary of State,,DEM,Adrian Fontes,49,37,5,7,0
Graham,Pima #9,Secretary of State,,DEM,Adrian Fontes,306,214,21,71,0
Graham,Ft. Thomas #10,Secretary of State,,DEM,Adrian Fontes,23,16,4,3,0
Graham,Bylas #11,Secretary of State,,DEM,Adrian Fontes,269,80,11,173,5
Graham,Klondyke #12,Secretary of State,,DEM,Adrian Fontes,14,11,1,1,1
Graham,Bonita #13,Secretary of State,,DEM,Adrian Fontes,13,8,0,4,1
Graham,Thunderbird #14,Secretary of State,,DEM,Adrian Fontes,50,29,6,15,0
Graham,Safford #15,Secretary of State,,DEM,Adrian Fontes,366,284,31,50,1
Graham,Peridot #16,Secretary of State,,DEM,Adrian Fontes,213,82,19,107,5
Graham,Cactus #17,Secretary of State,,DEM,Adrian Fontes,42,37,1,4,0
Graham,Jackson #18,Secretary of State,,DEM,Adrian Fontes,178,115,26,37,0
Graham,Desert Hills #19,Secretary of State,,DEM,Adrian Fontes,143,116,12,14,1
Graham,Artesia #20,Secretary of State,,DEM,Adrian Fontes,105,68,13,23,1
Graham,Quatro Cerros #21,Secretary of State,,DEM,Adrian Fontes,17,16,0,1,0
Graham,Gila River #22,Secretary of State,,DEM,Adrian Fontes,8,8,0,0,0
Graham,Solomon #1,Secretary of State,,REP,Mark Finchem,393,191,39,163,0
Graham,Safford #2,Secretary of State,,REP,Mark Finchem,516,267,57,188,4
Graham,Safford #3,Secretary of State,,REP,Mark Finchem,276,161,16,97,2
Graham,Layton #4,Secretary of State,,REP,Mark Finchem,190,103,11,75,1
Graham,Layton #5,Secretary of State,,REP,Mark Finchem,559,304,76,176,3
Graham,Thatcher #6,Secretary of State,,REP,Mark Finchem,429,206,64,155,4
Graham,Thatcher #7,Secretary of State,,REP,Mark Finchem,800,431,93,271,5
Graham,Central #8,Secretary of State,,REP,Mark Finchem,346,163,65,113,5
Graham,Pima #9,Secretary of State,,REP,Mark Finchem,1277,559,159,526,33
Graham,Ft. Thomas #10,Secretary of State,,REP,Mark Finchem,148,50,26,72,0
Graham,Bylas #11,Secretary of State,,REP,Mark Finchem,27,6,6,14,1
Graham,Klondyke #12,Secretary of State,,REP,Mark Finchem,34,27,2,5,0
Graham,Bonita #13,Secretary of State,,REP,Mark Finchem,110,35,28,42,5
