county,precinct,office,district,party,candidate,votes,election_day,early_voting,late_votes,provisional 
Yuma,001.01,Registered Voters,,,,1358,,,,
Yuma,002,Registered Voters,,,,1516,,,,
Yuma,003,Registered Voters,,,,1809,,,,
Yuma,004,Registered Voters,,,,4375,,,,
Yuma,005,Registered Voters,,,,2690,,,,
Yuma,006,Registered Voters,,,,2770,,,,
Yuma,007,Registered Voters,,,,3855,,,,
Yuma,008.01,Registered Voters,,,,1397,,,,
Yuma,009,Registered Voters,,,,2659,,,,
Yuma,010,Registered Voters,,,,6262,,,,
Yuma,011,Registered Voters,,,,2552,,,,
Yuma,012,Registered Voters,,,,2434,,,,
Yuma,013,Registered Voters,,,,2178,,,,
Yuma,014.01,Registered Voters,,,,695,,,,
Yuma,015.01,Registered Voters,,,,2111,,,,
Yuma,016,Registered Voters,,,,1687,,,,
Yuma,017,Registered Voters,,,,3816,,,,
Yuma,018,Registered Voters,,,,365,,,,
Yuma,019,Registered Voters,,,,172,,,,
Yuma,020,Registered Voters,,,,2773,,,,
Yuma,021,Registered Voters,,,,0,,,,
Yuma,022,Registered Voters,,,,3336,,,,
Yuma,023.01,Registered Voters,,,,2491,,,,
Yuma,024.01,Registered Voters,,,,6602,,,,
Yuma,25.01,Registered Voters,,,,3407,,,,
Yuma,026,Registered Voters,,,,968,,,,
Yuma,027,Registered Voters,,,,1149,,,,
Yuma,028,Registered Voters,,,,823,,,,
Yuma,029,Registered Voters,,,,4641,,,,
Yuma,030.01,Registered Voters,,,,3803,,,,
Yuma,031,Registered Voters,,,,6734,,,,
Yuma,032,Registered Voters,,,,1650,,,,
Yuma,033,Registered Voters,,,,655,,,,
Yuma,034.01,Registered Voters,,,,871,,,,
Yuma,035,Registered Voters,,,,1941,,,,
Yuma,036,Registered Voters,,,,2656,,,,
Yuma,037,Registered Voters,,,,2303,,,,
Yuma,038,Registered Voters,,,,2297,,,,
Yuma,039,Registered Voters,,,,2102,,,,
Yuma,040,Registered Voters,,,,2221,,,,
Yuma,041.01,Registered Voters,,,,2545,,,,
Yuma,042,Registered Voters,,,,3195,,,,
Yuma,043,Registered Voters,,,,36,,,,
Yuma,044,Registered Voters,,,,0,,,,
Yuma,045.01,Registered Voters,,,,1221,,,,
Yuma,046,Registered Voters,,,,12,,,,
Yuma,001.01,Ballots Cast,,,,403,72,302,24,5
Yuma,002,Ballots Cast,,,,573,108,434,24,7
Yuma,003,Ballots Cast,,,,509,90,397,17,5
Yuma,004,Ballots Cast,,,,1696,281,1324,77,14
Yuma,005,Ballots Cast,,,,1515,281,1132,85,17
Yuma,006,Ballots Cast,,,,918,188,638,82,10
Yuma,007,Ballots Cast,,,,1044,164,784,88,8
Yuma,008.01,Ballots Cast,,,,868,107,725,29,7
Yuma,009,Ballots Cast,,,,1369,309,968,71,21
Yuma,010,Ballots Cast,,,,3010,526,2298,143,43
Yuma,011,Ballots Cast,,,,1251,337,812,91,11
Yuma,012,Ballots Cast,,,,1271,238,958,66,9
Yuma,013,Ballots Cast,,,,782,124,631,17,10
Yuma,014.01,Ballots Cast,,,,245,58,168,18,1
Yuma,015.01,Ballots Cast,,,,1011,149,782,64,16
Yuma,016,Ballots Cast,,,,735,119,566,43,7
Yuma,017,Ballots Cast,,,,1955,361,1503,68,23
Yuma,018,Ballots Cast,,,,149,24,119,5,1
Yuma,019,Ballots Cast,,,,67,13,49,3,2
Yuma,020,Ballots Cast,,,,1624,449,1022,135,18
Yuma,021,Ballots Cast,,,,0,0,0,0,0
Yuma,022,Ballots Cast,,,,1747,366,1267,86,28
Yuma,023.01,Ballots Cast,,,,1658,267,1318,60,13
Yuma,024.01,Ballots Cast,,,,4574,785,3587,175,27
Yuma,25.01,Ballots Cast,,,,2354,427,1810,101,16
Yuma,026,Ballots Cast,,,,330,49,251,26,4
Yuma,027,Ballots Cast,,,,471,78,373,16,4
Yuma,028,Ballots Cast,,,,282,53,202,25,2
Yuma,029,Ballots Cast,,,,1170,207,803,153,7
Yuma,030.01,Ballots Cast,,,,1170,205,797,163,5
Yuma,031,Ballots Cast,,,,1876,349,1275,224,28
Yuma,032,Ballots Cast,,,,539,103,393,34,9
Yuma,033,Ballots Cast,,,,316,75,220,16,5
Yuma,034.01,Ballots Cast,,,,541,113,383,36,9
Yuma,035,Ballots Cast,,,,896,162,697,27,10
Yuma,036,Ballots Cast,,,,1171,207,893,64,7
Yuma,037,Ballots Cast,,,,821,170,606,37,8
Yuma,038,Ballots Cast,,,,936,175,703,47,11
Yuma,039,Ballots Cast,,,,997,178,760,38,21
Yuma,040,Ballots Cast,,,,1088,163,868,51,6
Yuma,041.01,Ballots Cast,,,,1205,185,946,64,10
Yuma,042,Ballots Cast,,,,1234,255,901,67,11
Yuma,043,Ballots Cast,,,,23,5,17,1,0
Yuma,044,Ballots Cast,,,,0,0,0,0,0
Yuma,045.01,Ballots Cast,,,,431,83,323,17,8
Yuma,046,Ballots Cast,,,,5,1,4,0,0
Yuma,001.01,U.S. Senate,,DEM,Mark Kelly,263,35,208,18,2
Yuma,002,U.S. Senate,,DEM,Mark Kelly,321,48,255,13,5
Yuma,003,U.S. Senate,,DEM,Mark Kelly,280,45,220,12,3
Yuma,004,U.S. Senate,,DEM,Mark Kelly,956,91,821,40,4
Yuma,005,U.S. Senate,,DEM,Mark Kelly,563,57,477,26,3
Yuma,006,U.S. Senate,,DEM,Mark Kelly,604,104,435,57,8
Yuma,007,U.S. Senate,,DEM,Mark Kelly,796,98,625,66,7
Yuma,008.01,U.S. Senate,,DEM,Mark Kelly,373,28,323,20,2
Yuma,009,U.S. Senate,,DEM,Mark Kelly,330,44,276,8,2
Yuma,010,U.S. Senate,,DEM,Mark Kelly,1160,107,990,49,14
Yuma,011,U.S. Senate,,DEM,Mark Kelly,486,85,361,38,2
Yuma,012,U.S. Senate,,DEM,Mark Kelly,415,55,334,24,2
Yuma,013,U.S. Senate,,DEM,Mark Kelly,430,46,378,6,0
Yuma,014.01,U.S. Senate,,DEM,Mark Kelly,118,13,94,11,0
Yuma,015.01,U.S. Senate,,DEM,Mark Kelly,413,37,346,24,6
Yuma,016,U.S. Senate,,DEM,Mark Kelly,380,40,321,14,5
Yuma,017,U.S. Senate,,DEM,Mark Kelly,695,83,586,22,4
Yuma,018,U.S. Senate,,DEM,Mark Kelly,23,1,20,2,0
Yuma,019,U.S. Senate,,DEM,Mark Kelly,30,2,27,1,0
Yuma,020,U.S. Senate,,DEM,Mark Kelly,488,62,391,29,6
Yuma,021,U.S. Senate,,DEM,Mark Kelly,0,0,0,0,0
Yuma,022,U.S. Senate,,DEM,Mark Kelly,596,78,487,28,3
Yuma,023.01,U.S. Senate,,DEM,Mark Kelly,599,47,534,14,4
Yuma,024.01,U.S. Senate,,DEM,Mark Kelly,1295,100,1167,24,4
Yuma,25.01,U.S. Senate,,DEM,Mark Kelly,719,43,648,26,2
Yuma,026,U.S. Senate,,DEM,Mark Kelly,201,16,168,14,3
Yuma,027,U.S. Senate,,DEM,Mark Kelly,237,33,197,7,0
Yuma,028,U.S. Senate,,DEM,Mark Kelly,156,21,122,11,2
Yuma,029,U.S. Senate,,DEM,Mark Kelly,914,141,657,110,6
Yuma,030.01,U.S. Senate,,DEM,Mark Kelly,923,135,661,126,1
Yuma,031,U.S. Senate,,DEM,Mark Kelly,1423,227,1013,161,22
Yuma,032,U.S. Senate,,DEM,Mark Kelly,296,44,231,18,3
Yuma,033,U.S. Senate,,DEM,Mark Kelly,122,13,103,6,0
Yuma,034.01,U.S. Senate,,DEM,Mark Kelly,153,19,122,9,3
Yuma,035,U.S. Senate,,DEM,Mark Kelly,402,49,343,7,3
Yuma,036,U.S. Senate,,DEM,Mark Kelly,569,78,458,29,4
Yuma,037,U.S. Senate,,DEM,Mark Kelly,500,73,400,24,3
Yuma,038,U.S. Senate,,DEM,Mark Kelly,480,59,390,30,1
Yuma,039,U.S. Senate,,DEM,Mark Kelly,457,59,369,20,9
Yuma,040,U.S. Senate,,DEM,Mark Kelly,516,55,434,24,3
Yuma,041.01,U.S. Senate,,DEM,Mark Kelly,566,50,492,21,3
Yuma,042,U.S. Senate,,DEM,Mark Kelly,639,86,515,37,1
Yuma,043,U.S. Senate,,DEM,Mark Kelly,9,1,8,0,0
Yuma,044,U.S. Senate,,DEM,Mark Kelly,0,0,0,0,0
Yuma,045.01,U.S. Senate,,DEM,Mark Kelly,241,28,200,9,4
Yuma,046,U.S. Senate,,DEM,Mark Kelly,4,0,4,0,0
Yuma,001.01,U.S. Senate,,REP,Blake Masters,126,34,83,6,3
Yuma,002,U.S. Senate,,REP,Blake Masters,223,58,153,10,2
Yuma,003,U.S. Senate,,REP,Blake Masters,208,41,161,5,1
Yuma,004,U.S. Senate,,REP,Blake Masters,680,181,453,36,10
Yuma,005,U.S. Senate,,REP,Blake Masters,912,217,624,58,13
Yuma,006,U.S. Senate,,REP,Blake Masters,293,83,189,20,1
Yuma,007,U.S. Senate,,REP,Blake Masters,201,57,126,17,1
Yuma,008.01,U.S. Senate,,REP,Blake Masters,457,73,371,8,5
Yuma,009,U.S. Senate,,REP,Blake Masters,1009,259,669,62,19
Yuma,010,U.S. Senate,,REP,Blake Masters,1749,400,1234,91,24
Yuma,011,U.S. Senate,,REP,Blake Masters,728,241,428,51,8
Yuma,012,U.S. Senate,,REP,Blake Masters,808,176,586,39,7
Yuma,013,U.S. Senate,,REP,Blake Masters,308,71,216,11,10
Yuma,014.01,U.S. Senate,,REP,Blake Masters,118,45,65,7,1
Yuma,015.01,U.S. Senate,,REP,Blake Masters,560,110,406,37,7
Yuma,016,U.S. Senate,,REP,Blake Masters,326,76,220,28,2
Yuma,017,U.S. Senate,,REP,Blake Masters,1179,261,855,44,19
Yuma,018,U.S. Senate,,REP,Blake Masters,124,23,97,3,1
Yuma,019,U.S. Senate,,REP,Blake Masters,35,10,21,2,2
Yuma,020,U.S. Senate,,REP,Blake Masters,1078,376,591,99,12
Yuma,021,U.S. Senate,,REP,Blake Masters,0,0,0,0,0
Yuma,022,U.S. Senate,,REP,Blake Masters,1088,283,724,56,25
Yuma,023.01,U.S. Senate,,REP,Blake Masters,1014,214,749,43,8
Yuma,024.01,U.S. Senate,,REP,Blake Masters,3124,670,2286,147,21
Yuma,25.01,U.S. Senate,,REP,Blake Masters,1572,375,1111,72,14
Yuma,026,U.S. Senate,,REP,Blake Masters,115,33,71,10,1
Yuma,027,U.S. Senate,,REP,Blake Masters,221,41,167,9,4
Yuma,028,U.S. Senate,,REP,Blake Masters,107,30,64,13,0
Yuma,029,U.S. Senate,,REP,Blake Masters,174,53,90,30,1
Yuma,030.01,U.S. Senate,,REP,Blake Masters,194,62,103,25,4
Yuma,031,U.S. Senate,,REP,Blake Masters,333,102,177,49,5
Yuma,032,U.S. Senate,,REP,Blake Masters,215,53,141,15,6
Yuma,033,U.S. Senate,,REP,Blake Masters,181,59,108,9,5
Yuma,034.01,U.S. Senate,,REP,Blake Masters,373,91,249,27,6
Yuma,035,U.S. Senate,,REP,Blake Masters,463,109,328,19,7
Yuma,036,U.S. Senate,,REP,Blake Masters,557,125,396,34,2
Yuma,037,U.S. Senate,,REP,Blake Masters,293,90,185,13,5
Yuma,038,U.S. Senate,,REP,Blake Masters,416,110,282,16,8
Yuma,039,U.S. Senate,,REP,Blake Masters,502,114,361,17,10
Yuma,040,U.S. Senate,,REP,Blake Masters,523,100,394,26,3
Yuma,041.01,U.S. Senate,,REP,Blake Masters,598,130,422,39,7
Yuma,042,U.S. Senate,,REP,Blake Masters,556,163,356,27,10
Yuma,043,U.S. Senate,,REP,Blake Masters,13,4,8,1,0
Yuma,044,U.S. Senate,,REP,Blake Masters,0,0,0,0,0
Yuma,045.01,U.S. Senate,,REP,Blake Masters,163,54,98,8,3
Yuma,046,U.S. Senate,,REP,Blake Masters,0,0,0,0,0
Yuma,001.01,U.S. Senate,,LIB,Marc J. Victor,10,2,8,0,0
Yuma,002,U.S. Senate,,LIB,Marc J. Victor,20,0,19,1,0
Yuma,003,U.S. Senate,,LIB,Marc J. Victor,17,2,14,0,1
Yuma,004,U.S. Senate,,LIB,Marc J. Victor,45,7,38,0,0
Yuma,005,U.S. Senate,,LIB,Marc J. Victor,21,5,15,0,1
Yuma,006,U.S. Senate,,LIB,Marc J. Victor,15,0,10,4,1
Yuma,007,U.S. Senate,,LIB,Marc J. Victor,32,8,23,1,0
Yuma,008.01,U.S. Senate,,LIB,Marc J. Victor,29,4,24,1,0
Yuma,009,U.S. Senate,,LIB,Marc J. Victor,19,4,14,1,0
Yuma,010,U.S. Senate,,LIB,Marc J. Victor,78,17,55,2,4
Yuma,011,U.S. Senate,,LIB,Marc J. Victor,26,10,15,1,0
Yuma,012,U.S. Senate,,LIB,Marc J. Victor,29,3,24,2,0
Yuma,013,U.S. Senate,,LIB,Marc J. Victor,35,5,30,0,0
Yuma,014.01,U.S. Senate,,LIB,Marc J. Victor,8,0,8,0,0
Yuma,015.01,U.S. Senate,,LIB,Marc J. Victor,29,2,22,3,2
Yuma,016,U.S. Senate,,LIB,Marc J. Victor,22,2,19,1,0
Yuma,017,U.S. Senate,,LIB,Marc J. Victor,64,13,49,2,0
Yuma,018,U.S. Senate,,LIB,Marc J. Victor,1,0,1,0,0
Yuma,019,U.S. Senate,,LIB,Marc J. Victor,1,0,1,0,0
Yuma,020,U.S. Senate,,LIB,Marc J. Victor,33,8,23,2,0
Yuma,021,U.S. Senate,,LIB,Marc J. Victor,0,0,0,0,0
Yuma,022,U.S. Senate,,LIB,Marc J. Victor,52,4,46,2,0
Yuma,023.01,U.S. Senate,,LIB,Marc J. Victor,29,3,23,2,1
Yuma,024.01,U.S. Senate,,LIB,Marc J. Victor,131,13,112,4,2
Yuma,25.01,U.S. Senate,,LIB,Marc J. Victor,39,5,31,3,0
Yuma,026,U.S. Senate,,LIB,Marc J. Victor,7,0,5,2,0
Yuma,027,U.S. Senate,,LIB,Marc J. Victor,11,2,9,0,0
Yuma,028,U.S. Senate,,LIB,Marc J. Victor,9,0,8,1,0
Yuma,029,U.S. Senate,,LIB,Marc J. Victor,46,4,35,7,0
Yuma,030.01,U.S. Senate,,LIB,Marc J. Victor,27,4,19,4,0
Yuma,031,U.S. Senate,,LIB,Marc J. Victor,69,12,49,8,0
Yuma,032,U.S. Senate,,LIB,Marc J. Victor,22,6,15,1,0
Yuma,033,U.S. Senate,,LIB,Marc J. Victor,9,3,5,1,0
Yuma,034.01,U.S. Senate,,LIB,Marc J. Victor,14,3,11,0,0
Yuma,035,U.S. Senate,,LIB,Marc J. Victor,21,4,17,0,0
Yuma,036,U.S. Senate,,LIB,Marc J. Victor,37,2,34,1,0
Yuma,037,U.S. Senate,,LIB,Marc J. Victor,22,6,16,0,0
Yuma,038,U.S. Senate,,LIB,Marc J. Victor,28,3,22,1,2
Yuma,039,U.S. Senate,,LIB,Marc J. Victor,28,3,23,1,1
Yuma,040,U.S. Senate,,LIB,Marc J. Victor,33,5,27,1,0
Yuma,041.01,U.S. Senate,,LIB,Marc J. Victor,29,4,23,2,0
Yuma,042,U.S. Senate,,LIB,Marc J. Victor,28,6,22,0,0
Yuma,043,U.S. Senate,,LIB,Marc J. Victor,0,0,0,0,0
Yuma,044,U.S. Senate,,LIB,Marc J. Victor,0,0,0,0,0
Yuma,045.01,U.S. Senate,,LIB,Marc J. Victor,16,0,16,0,0
Yuma,046,U.S. Senate,,LIB,Marc J. Victor,0,0,0,0,0
Yuma,001.01,U.S. Senate,,,Write-ins,1,0,1,0,0
Yuma,002,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,003,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,004,U.S. Senate,,,Write-ins,1,0,1,0,0
Yuma,005,U.S. Senate,,,Write-ins,2,0,2,0,0
Yuma,006,U.S. Senate,,,Write-ins,1,1,0,0,0
Yuma,007,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,008.01,U.S. Senate,,,Write-ins,1,0,1,0,0
Yuma,009,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,010,U.S. Senate,,,Write-ins,1,0,1,0,0
Yuma,011,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,012,U.S. Senate,,,Write-ins,3,0,2,1,0
Yuma,013,U.S. Senate,,,Write-ins,2,1,1,0,0
Yuma,014.01,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,015.01,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,016,U.S. Senate,,,Write-ins,1,1,0,0,0
Yuma,017,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,018,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,019,U.S. Senate,,,Write-ins,1,1,0,0,0
Yuma,020,U.S. Senate,,,Write-ins,1,0,1,0,0
Yuma,021,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,022,U.S. Senate,,,Write-ins,3,1,2,0,0
Yuma,023.01,U.S. Senate,,,Write-ins,1,1,0,0,0
Yuma,024.01,U.S. Senate,,,Write-ins,5,1,4,0,0
Yuma,25.01,U.S. Senate,,,Write-ins,4,3,1,0,0
Yuma,026,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,027,U.S. Senate,,,Write-ins,1,1,0,0,0
Yuma,028,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,029,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,030.01,U.S. Senate,,,Write-ins,1,0,1,0,0
Yuma,031,U.S. Senate,,,Write-ins,2,1,1,0,0
Yuma,032,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,033,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,034.01,U.S. Senate,,,Write-ins,1,0,1,0,0
Yuma,035,U.S. Senate,,,Write-ins,1,0,1,0,0
Yuma,036,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,037,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,038,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,039,U.S. Senate,,,Write-ins,3,1,2,0,0
Yuma,040,U.S. Senate,,,Write-ins,1,1,0,0,0
Yuma,041.01,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,042,U.S. Senate,,,Write-ins,2,0,1,1,0
Yuma,043,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,044,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,045.01,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,046,U.S. Senate,,,Write-ins,0,0,0,0,0
Yuma,001.01,U.S. House,7,DEM,Raul Grijalva,248,31,198,18,1
Yuma,002,U.S. House,7,DEM,Raul Grijalva,311,42,255,11,3
Yuma,003,U.S. House,7,DEM,Raul Grijalva,265,42,210,10,3
Yuma,004,U.S. House,7,DEM,Raul Grijalva,896,80,772,40,4
Yuma,006,U.S. House,7,DEM,Raul Grijalva,545,91,391,54,9
Yuma,007,U.S. House,7,DEM,Raul Grijalva,765,96,602,61,6
Yuma,013,U.S. House,7,DEM,Raul Grijalva,411,42,362,6,1
Yuma,014.01,U.S. House,7,DEM,Raul Grijalva,103,12,80,11,0
Yuma,021,U.S. House,7,DEM,Raul Grijalva,0,0,0,0,0
Yuma,026,U.S. House,7,DEM,Raul Grijalva,194,17,158,16,3
Yuma,027,U.S. House,7,DEM,Raul Grijalva,211,32,173,6,0
Yuma,028,U.S. House,7,DEM,Raul Grijalva,157,23,122,10,2
Yuma,029,U.S. House,7,DEM,Raul Grijalva,879,136,625,113,5
Yuma,030.01,U.S. House,7,DEM,Raul Grijalva,864,118,615,129,2
Yuma,031,U.S. House,7,DEM,Raul Grijalva,1333,215,945,155,18
Yuma,032,U.S. House,7,DEM,Raul Grijalva,287,40,228,17,2
Yuma,035,U.S. House,7,DEM,Raul Grijalva,356,41,309,4,2
Yuma,036,U.S. House,7,DEM,Raul Grijalva,527,64,434,25,4
Yuma,037,U.S. House,7,DEM,Raul Grijalva,456,66,367,20,3
Yuma,038,U.S. House,7,DEM,Raul Grijalva,431,54,350,24,3
Yuma,039,U.S. House,7,DEM,Raul Grijalva,427,52,350,16,9
Yuma,040,U.S. House,7,DEM,Raul Grijalva,469,46,401,19,3
Yuma,041.01,U.S. House,7,DEM,Raul Grijalva,488,46,422,20,0
Yuma,042,U.S. House,7,DEM,Raul Grijalva,594,80,479,33,2
Yuma,044,U.S. House,7,DEM,Raul Grijalva,0,0,0,0,0
Yuma,045.01,U.S. House,7,DEM,Raul Grijalva,216,21,182,8,5
Yuma,046,U.S. House,7,DEM,Raul Grijalva,4,0,4,0,0
Yuma,001.01,U.S. House,7,REP,Luis Pozzolo,149,40,99,6,4
Yuma,002,U.S. House,7,REP,Luis Pozzolo,247,60,172,12,3
Yuma,003,U.S. House,7,REP,Luis Pozzolo,237,46,182,7,2
Yuma,004,U.S. House,7,REP,Luis Pozzolo,771,198,526,37,10
Yuma,006,U.S. House,7,REP,Luis Pozzolo,359,95,239,24,1
Yuma,007,U.S. House,7,REP,Luis Pozzolo,267,66,175,24,2
Yuma,013,U.S. House,7,REP,Luis Pozzolo,359,78,261,11,9
Yuma,014.01,U.S. House,7,REP,Luis Pozzolo,135,45,83,6,1
Yuma,021,U.S. House,7,REP,Luis Pozzolo,0,0,0,0,0
Yuma,026,U.S. House,7,REP,Luis Pozzolo,128,32,85,10,1
Yuma,027,U.S. House,7,REP,Luis Pozzolo,258,45,199,10,4
Yuma,028,U.S. House,7,REP,Luis Pozzolo,116,29,72,15,0
Yuma,029,U.S. House,7,REP,Luis Pozzolo,257,64,158,33,2
Yuma,030.01,U.S. House,7,REP,Luis Pozzolo,277,81,165,28,3
Yuma,031,U.S. House,7,REP,Luis Pozzolo,500,127,303,61,9
Yuma,032,U.S. House,7,REP,Luis Pozzolo,242,62,158,16,6
Yuma,035,U.S. House,7,REP,Luis Pozzolo,527,121,376,22,8
Yuma,036,U.S. House,7,REP,Luis Pozzolo,634,139,453,39,3
Yuma,037,U.S. House,7,REP,Luis Pozzolo,351,100,229,17,5
Yuma,038,U.S. House,7,REP,Luis Pozzolo,475,114,332,21,8
Yuma,039,U.S. House,7,REP,Luis Pozzolo,552,124,395,22,11
Yuma,040,U.S. House,7,REP,Luis Pozzolo,594,115,446,30,3
Yuma,041.01,U.S. House,7,REP,Luis Pozzolo,690,137,503,41,9
Yuma,042,U.S. House,7,REP,Luis Pozzolo,623,172,410,32,9
Yuma,044,U.S. House,7,REP,Luis Pozzolo,0,0,0,0,0
Yuma,045.01,U.S. House,7,REP,Luis Pozzolo,205,59,135,9,2
Yuma,046,U.S. House,7,REP,Luis Pozzolo,0,0,0,0,0
Yuma,001.01,U.S. House,7,,Write-ins,1,0,1,0,0
Yuma,002,U.S. House,7,,Write-ins,1,0,1,0,0
Yuma,003,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,004,U.S. House,7,,Write-ins,3,1,2,0,0
Yuma,006,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,007,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,013,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,014.01,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,021,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,026,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,027,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,028,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,029,U.S. House,7,,Write-ins,2,0,2,0,0
Yuma,030.01,U.S. House,7,,Write-ins,1,1,0,0,0
Yuma,031,U.S. House,7,,Write-ins,3,2,1,0,0
Yuma,032,U.S. House,7,,Write-ins,1,0,1,0,0
Yuma,035,U.S. House,7,,Write-ins,2,0,2,0,0
Yuma,036,U.S. House,7,,Write-ins,1,0,1,0,0
Yuma,037,U.S. House,7,,Write-ins,1,1,0,0,0
Yuma,038,U.S. House,7,,Write-ins,1,1,0,0,0
Yuma,039,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,040,U.S. House,7,,Write-ins,1,0,1,0,0
Yuma,041.01,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,042,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,044,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,045.01,U.S. House,7,,Write-ins,2,1,1,0,0
Yuma,046,U.S. House,7,,Write-ins,0,0,0,0,0
Yuma,005,U.S. House,9,REP,Paul Gosar,1082,242,757,70,13
Yuma,008.01,U.S. House,9,REP,Paul Gosar,622,92,511,13,6
Yuma,009,U.S. House,9,REP,Paul Gosar,1116,277,755,64,20
Yuma,010,U.S. House,9,REP,Paul Gosar,2180,450,1592,103,35
Yuma,011,U.S. House,9,REP,Paul Gosar,904,282,551,61,10
Yuma,012,U.S. House,9,REP,Paul Gosar,962,199,707,49,7
Yuma,015.01,U.S. House,9,REP,Paul Gosar,711,120,533,45,13
Yuma,016,U.S. House,9,REP,Paul Gosar,463,96,330,33,4
Yuma,017,U.S. House,9,REP,Paul Gosar,1495,321,1105,49,20
Yuma,018,U.S. House,9,REP,Paul Gosar,132,23,105,3,1
Yuma,019,U.S. House,9,REP,Paul Gosar,49,11,34,2,2
Yuma,020,U.S. House,9,REP,Paul Gosar,1234,392,718,109,15
Yuma,022,U.S. House,9,REP,Paul Gosar,1325,317,920,63,25
Yuma,023.01,U.S. House,9,REP,Paul Gosar,1218,237,922,49,10
Yuma,024.01,U.S. House,9,REP,Paul Gosar,3600,703,2724,149,24
Yuma,25.01,U.S. House,9,REP,Paul Gosar,1766,384,1292,74,16
Yuma,033,U.S. House,9,REP,Paul Gosar,245,71,154,15,5
Yuma,034.01,U.S. House,9,REP,Paul Gosar,429,98,291,32,8
Yuma,043,U.S. House,9,REP,Paul Gosar,18,5,12,1,0
Yuma,005,U.S. House,9,,Write-ins,66,6,54,5,1
Yuma,008.01,U.S. House,9,,Write-ins,26,4,22,0,0
Yuma,009,U.S. House,9,,Write-ins,55,11,42,2,0
Yuma,010,U.S. House,9,,Write-ins,153,23,116,12,2
Yuma,011,U.S. House,9,,Write-ins,66,14,41,11,0
Yuma,012,U.S. House,9,,Write-ins,57,9,44,4,0
Yuma,015.01,U.S. House,9,,Write-ins,43,4,35,3,1
Yuma,016,U.S. House,9,,Write-ins,45,4,40,1,0
Yuma,017,U.S. House,9,,Write-ins,67,10,55,2,0
Yuma,018,U.S. House,9,,Write-ins,7,1,6,0,0
Yuma,019,U.S. House,9,,Write-ins,2,0,2,0,0
Yuma,020,U.S. House,9,,Write-ins,51,13,33,4,1
Yuma,022,U.S. House,9,,Write-ins,80,15,60,5,0
Yuma,023.01,U.S. House,9,,Write-ins,68,6,61,1,0
Yuma,024.01,U.S. House,9,,Write-ins,144,19,120,4,1
Yuma,25.01,U.S. House,9,,Write-ins,100,13,81,6,0
Yuma,033,U.S. House,9,,Write-ins,8,1,7,0,0
Yuma,034.01,U.S. House,9,,Write-ins,25,10,13,2,0
Yuma,043,U.S. House,9,,Write-ins,2,0,2,0,0
